date,name,value
1793-01-01,suit,1
1793-01-01,suit of clothes,1
1818-01-01,analog clock,1
1839-01-01,military uniform,1
1851-01-01,safety pin,1
1851-01-01,cliff dwelling,1
1869-01-01,coil,1
1869-01-01,spiral,1
1869-01-01,volute,1
1869-01-01,whorl,1
1869-01-01,helix,1
1869-01-01,street sign,1
1869-01-01,letter opener,1
1869-01-01,paper knife,1
1869-01-01,paperknife,1
1870-01-01,bee house,1
1870-01-01,apiary,1
1871-01-01,tray,1
1879-01-01,jigsaw puzzle,1
1881-01-01,plectron,1
1881-01-01,plectrum,1
1881-01-01,pick,1
1882-01-01,pill bottle,1
1883-01-01,drumstick,1
1883-01-01,chest,1
1885-01-01,comic book,1
1886-01-01,memorial tablet,1
1886-01-01,brass,1
1886-01-01,plaque,1
1887-01-01,prayer mat,1
1887-01-01,prayer rug,1
1890-01-01,theater curtain,1
1890-01-01,waggon,1
1890-01-01,station waggon,1
1890-01-01,estate car,1
1890-01-01,wagon,1
1890-01-01,station wagon,1
1890-01-01,beach wagon,1
1890-01-01,pickelhaube,1
1890-01-01,beach waggon,1
1890-01-01,theatre curtain,1
1891-01-01,packet,1
1891-01-01,nematode,1
1891-01-01,nematode worm,1
1891-01-01,roundworm,1
1894-01-01,volute,2
1894-01-01,spiral,2
1894-01-01,coil,2
1894-01-01,helix,2
1894-01-01,whorl,2
1895-01-01,weighing machine,1
1895-01-01,scale,1
1902-01-01,racing car,1
1902-01-01,race car,1
1902-01-01,racer,1
1905-01-01,book jacket,1
1905-01-01,dust jacket,1
1905-01-01,dust wrapper,1
1905-01-01,dust cover,1
1911-01-01,dust cover,2
1911-01-01,dust jacket,2
1911-01-01,dust wrapper,2
1911-01-01,book jacket,2
1919-01-01,plastic bag,1
1920-01-01,sorrel,1
1921-01-01,corkscrew,1
1921-01-01,bottle screw,1
1922-01-01,vault,1
1924-01-01,revolver,1
1924-01-01,six-shooter,1
1924-01-01,six-gun,1
1925-01-01,gas pump,1
1925-01-01,gasoline pump,1
1925-01-01,petrol pump,1
1925-01-01,island dispenser,1
1925-01-01,beaver,1
1926-01-01,alp,1
1929-01-01,dust cover,3
1929-01-01,book jacket,3
1929-01-01,dust wrapper,3
1929-01-01,dust jacket,3
1930-01-01,impala,1
1930-01-01,Aepyceros melampus,1
1932-01-01,dog sleigh,1
1932-01-01,dog sled,1
1932-01-01,dogsled,1
1937-01-01,plaque,2
1937-01-01,brass,2
1937-01-01,memorial tablet,2
1938-01-01,mask,1
1941-01-01,pickelhaube,2
1942-01-01,ananas,1
1942-01-01,ox,1
1942-01-01,pineapple,1
1943-01-01,Gorilla gorilla,1
1943-01-01,gorilla,1
1943-01-01,school bus,1
1944-01-01,grunter,1
1944-01-01,pig,1
1944-01-01,Sus scrofa,1
1944-01-01,hog,1
1944-01-01,military uniform,2
1944-01-01,squealer,1
1945-01-01,barn,1
1947-01-01,Virginia fence,1
1947-01-01,snake-rail fence,1
1947-01-01,snake fence,1
1947-01-01,worm fence,1
1949-01-01,chainsaw,1
1949-01-01,chain saw,1
1949-01-01,sawmill,1
1949-01-01,lumbermill,1
1949-01-01,steel arch bridge,1
1949-01-01,altar,1
1950-01-01,Virginia fence,2
1950-01-01,ash-bin,1
1950-01-01,ashbin,1
1950-01-01,dustbin,1
1950-01-01,trash barrel,1
1950-01-01,ash bin,1
1950-01-01,wastebin,1
1950-01-01,garbage can,1
1950-01-01,trash can,1
1950-01-01,ashcan,1
1950-01-01,snake-rail fence,2
1950-01-01,brass,3
1950-01-01,worm fence,2
1950-01-01,Euarctos americanus,1
1950-01-01,Ursus americanus,1
1950-01-01,black bear,1
1950-01-01,American black bear,1
1950-01-01,stone wall,1
1950-01-01,memorial tablet,3
1950-01-01,trash bin,1
1950-01-01,plaque,3
1950-01-01,barn,2
1950-01-01,snake fence,2
1952-01-01,basketball,1
1952-01-01,mountain tent,1
1953-01-01,ten-gallon hat,1
1953-01-01,cowboy boot,1
1953-01-01,sawmill,2
1953-01-01,lumbermill,2
1953-01-01,movie house,1
1953-01-01,movie theatre,1
1953-01-01,movie theater,1
1953-01-01,cinema,1
1953-01-01,vale,1
1953-01-01,valley,1
1953-01-01,picture palace,1
1953-01-01,cowboy hat,1
1954-01-01,alp,2
1955-01-01,military uniform,3
1956-01-01,lumbermill,3
1956-01-01,plaque,4
1956-01-01,memorial tablet,4
1956-01-01,brass,4
1956-01-01,flagstaff,1
1956-01-01,flagpole,1
1956-01-01,Chesapeake Bay retriever,1
1956-01-01,sawmill,3
1957-01-01,swing,1
1957-01-01,gibbon,1
1957-01-01,Hylobates lar,1
1957-01-01,brown bear,1
1957-01-01,bruin,1
1957-01-01,Ursus arctos,1
1958-01-01,bloodhound,1
1958-01-01,dung beetle,1
1958-01-01,off-roader,1
1958-01-01,all-terrain bike,1
1958-01-01,mountain bike,1
1958-01-01,carton,1
1958-01-01,packet,2
1958-01-01,prison house,1
1958-01-01,prison,1
1958-01-01,Virginia fence,3
1958-01-01,worm fence,3
1958-01-01,sleuthhound,1
1958-01-01,snake fence,3
1958-01-01,snake-rail fence,3
1959-01-01,military uniform,4
1959-01-01,pickup,1
1959-01-01,pickup truck,1
1960-01-01,iguana,1
1960-01-01,water buffalo,1
1960-01-01,water ox,1
1960-01-01,Asiatic buffalo,1
1960-01-01,Bubalus bubalis,1
1960-01-01,Iguana iguana,1
1960-01-01,patio,1
1960-01-01,terrace,1
1960-01-01,golf ball,1
1960-01-01,park bench,1
1960-01-01,common iguana,1
1961-01-01,sand bar,1
1961-01-01,sandbar,1
1961-01-01,kelpie,1
1961-01-01,pickelhaube,3
1961-01-01,soccer ball,1
1961-01-01,volcano,1
1961-01-01,bruin,2
1961-01-01,Ursus arctos,2
1961-01-01,wheelbarrow,1
1961-01-01,tench,1
1961-01-01,Tinca tinca,1
1961-01-01,lawn cart,1
1961-01-01,garden cart,1
1961-01-01,barrow,1
1961-01-01,brown bear,2
1962-01-01,banister,1
1962-01-01,gazelle,1
1962-01-01,balusters,1
1962-01-01,balustrade,1
1962-01-01,bannister,1
1962-01-01,handrail,1
1962-01-01,snowmobile,1
1962-01-01,mask,2
1962-01-01,Scottie,1
1962-01-01,Scotch terrier,1
1962-01-01,Scottish terrier,1
1963-01-01,Canis niger,1
1963-01-01,baseball player,1
1963-01-01,ballplayer,1
1963-01-01,church building,1
1963-01-01,church,1
1963-01-01,snowmobile,2
1963-01-01,Weimaraner,1
1963-01-01,worm fence,4
1963-01-01,red wolf,1
1963-01-01,station waggon,2
1963-01-01,beach waggon,2
1963-01-01,estate car,2
1963-01-01,wagon,2
1963-01-01,station wagon,2
1963-01-01,maypole,1
1963-01-01,golf ball,2
1963-01-01,alp,4
1963-01-01,breakwater,1
1963-01-01,maned wolf,1
1963-01-01,groyne,1
1963-01-01,barn,3
1963-01-01,snake fence,4
1963-01-01,snake-rail fence,4
1963-01-01,dust cover,5
1963-01-01,book jacket,5
1963-01-01,stone wall,2
1963-01-01,jetty,1
1963-01-01,groin,1
1963-01-01,seawall,1
1963-01-01,mole,1
1963-01-01,dust jacket,5
1963-01-01,dust wrapper,5
1963-01-01,crossword puzzle,1
1963-01-01,crossword,1
1963-01-01,Canis rufus,1
1963-01-01,canoe,1
1963-01-01,bulwark,1
1963-01-01,beach wagon,2
1963-01-01,waggon,2
1963-01-01,Virginia fence,4
1964-01-01,jammies,1
1964-01-01,neck brace,1
1964-01-01,roundworm,2
1964-01-01,nematode worm,2
1964-01-01,nematode,2
1964-01-01,envelope,1
1964-01-01,assault gun,1
1964-01-01,assault rifle,1
1964-01-01,mountain bike,3
1964-01-01,all-terrain bike,3
1964-01-01,off-roader,3
1964-01-01,pajama,1
1964-01-01,pyjama,1
1964-01-01,pj's,1
1964-01-01,baboon,1
1964-01-01,barrow,2
1964-01-01,garden cart,2
1964-01-01,crutch,1
1964-01-01,lawn cart,2
1964-01-01,volcano,2
1964-01-01,website,1
1964-01-01,web site,1
1964-01-01,site,1
1964-01-01,wheelbarrow,2
1964-01-01,internet site,1
1965-01-01,boar,1
1965-01-01,wild boar,1
1965-01-01,lakeshore,1
1965-01-01,lakeside,1
1965-01-01,convertible,1
1965-01-01,plaque,5
1965-01-01,memorial tablet,5
1965-01-01,brass,5
1965-01-01,boathouse,1
1965-01-01,rifle,1
1965-01-01,crutch,2
1965-01-01,barbershop,1
1965-01-01,prison house,3
1965-01-01,Sus scrofa,2
1965-01-01,macaque,1
1965-01-01,prison,3
1965-01-01,barn,4
1966-01-01,canoe,2
1966-01-01,cowboy hat,2
1966-01-01,ten-gallon hat,2
1966-01-01,lakeside,2
1966-01-01,lakeshore,2
1966-01-01,impala,2
1966-01-01,Aepyceros melampus,2
1966-01-01,bathing cap,1
1966-01-01,swimming cap,1
1966-01-01,freight car,1
1966-01-01,comforter,1
1966-01-01,quilt,1
1966-01-01,puff,1
1966-01-01,bow tie,1
1966-01-01,bow-tie,1
1966-01-01,bowtie,1
1966-01-01,comfort,1
1967-01-01,rifle,2
1967-01-01,limousine,1
1967-01-01,limo,1
1967-01-01,English setter,1
1967-01-01,lumbermill,4
1967-01-01,sawmill,4
1967-01-01,maze,1
1967-01-01,labyrinth,1
1967-01-01,Gordon setter,1
1967-01-01,malinois,1
1967-01-01,barn,5
1967-01-01,all-terrain bike,5
1967-01-01,off-roader,5
1967-01-01,valley,2
1967-01-01,vale,2
1967-01-01,Irish wolfhound,1
1967-01-01,ballplayer,2
1967-01-01,baseball player,2
1967-01-01,badger,1
1967-01-01,water tower,1
1967-01-01,gorilla,2
1967-01-01,Gorilla gorilla,2
1967-01-01,swimming trunks,1
1967-01-01,bathing trunks,1
1967-01-01,mountain bike,5
1967-01-01,snowmobile,3
1968-01-01,German shepherd,1
1968-01-01,book jacket,7
1968-01-01,dust cover,7
1968-01-01,dust jacket,7
1968-01-01,dust wrapper,7
1968-01-01,passenger car,1
1968-01-01,coach,1
1968-01-01,carriage,1
1968-01-01,Weimaraner,2
1968-01-01,orang,1
1968-01-01,orangutan,1
1968-01-01,bubble,1
1968-01-01,vale,3
1968-01-01,valley,3
1968-01-01,fur coat,1
1968-01-01,roundworm,3
1968-01-01,nematode worm,3
1968-01-01,nematode,3
1968-01-01,site,2
1968-01-01,barn,6
1968-01-01,alsatian,1
1968-01-01,German police dog,1
1968-01-01,mountain tent,2
1968-01-01,internet site,2
1968-01-01,German shepherd dog,1
1968-01-01,web site,2
1968-01-01,plow,1
1968-01-01,plough,1
1968-01-01,American black bear,2
1968-01-01,black bear,2
1968-01-01,Ursus americanus,2
1968-01-01,Euarctos americanus,2
1968-01-01,rifle,3
1968-01-01,gazelle,3
1968-01-01,red fox,1
1968-01-01,website,2
1968-01-01,Pongo pygmaeus,1
1968-01-01,orangutang,1
1968-01-01,Vulpes vulpes,1
1968-01-01,tripod,1
1968-01-01,minivan,1
1969-01-01,alp,7
1969-01-01,park bench,2
1969-01-01,lakeside,3
1969-01-01,military uniform,5
1969-01-01,face powder,1
1969-01-01,suit of clothes,2
1969-01-01,mountain tent,3
1969-01-01,Tinca tinca,2
1969-01-01,tench,2
1969-01-01,dust wrapper,8
1969-01-01,lakeshore,3
1969-01-01,dust jacket,8
1969-01-01,dust cover,8
1969-01-01,book jacket,8
1969-01-01,canoe,3
1969-01-01,chainsaw,2
1969-01-01,chain saw,2
1969-01-01,swing,3
1969-01-01,roundworm,4
1969-01-01,nematode worm,4
1969-01-01,nematode,4
1969-01-01,stretcher,1
1969-01-01,weasel,1
1969-01-01,snowplough,1
1969-01-01,snowplow,1
1969-01-01,convertible,2
1969-01-01,bowtie,2
1969-01-01,bow-tie,2
1969-01-01,pickup,2
1969-01-01,pickup truck,2
1969-01-01,dam,1
1969-01-01,dike,1
1969-01-01,dyke,1
1969-01-01,steel arch bridge,2
1969-01-01,barbershop,2
1969-01-01,comic book,2
1969-01-01,vale,4
1969-01-01,orangutan,2
1969-01-01,orang,2
1969-01-01,orangutang,2
1969-01-01,Pongo pygmaeus,2
1969-01-01,bow tie,2
1969-01-01,valley,4
1969-01-01,suit,2
1970-01-01,dust cover,11
1970-01-01,blue jean,1
1970-01-01,Virginia fence,5
1970-01-01,denim,1
1970-01-01,mountain tent,6
1970-01-01,park bench,3
1970-01-01,greenhouse,1
1970-01-01,nursery,1
1970-01-01,glasshouse,1
1970-01-01,barn,8
1970-01-01,cougar,1
1970-01-01,puma,1
1970-01-01,catamount,1
1970-01-01,mountain lion,1
1970-01-01,painter,1
1970-01-01,panther,1
1970-01-01,Felis concolor,1
1970-01-01,cowboy boot,2
1970-01-01,tench,3
1970-01-01,worm fence,5
1970-01-01,hay,1
1970-01-01,malinois,2
1970-01-01,chow chow,1
1970-01-01,chow,1
1970-01-01,swing,4
1970-01-01,jean,1
1970-01-01,bottlecap,1
1970-01-01,fur coat,2
1970-01-01,Euarctos americanus,3
1970-01-01,Ursus americanus,3
1970-01-01,black bear,3
1970-01-01,American black bear,3
1970-01-01,Tinca tinca,3
1970-01-01,moped,1
1970-01-01,lakeshore,5
1970-01-01,lakeside,5
1970-01-01,crane,1
1970-01-01,military uniform,7
1970-01-01,valley,6
1970-01-01,vale,6
1970-01-01,Cardigan,1
1970-01-01,Cardigan Welsh corgi,1
1970-01-01,book jacket,11
1970-01-01,dust jacket,11
1970-01-01,dust wrapper,11
1970-01-01,yurt,1
1970-01-01,jeep,1
1970-01-01,landrover,1
1970-01-01,chain saw,3
1970-01-01,snake fence,5
1970-01-01,hatchet,1
1970-01-01,chainsaw,3
1970-01-01,beach wagon,4
1970-01-01,Mexican hairless,1
1970-01-01,minibus,1
1970-01-01,vulture,1
1970-01-01,jigsaw puzzle,2
1970-01-01,crutch,3
1970-01-01,megalith,1
1970-01-01,megalithic structure,1
1970-01-01,waggon,4
1970-01-01,station waggon,4
1970-01-01,beach waggon,4
1970-01-01,estate car,4
1970-01-01,wagon,4
1970-01-01,station wagon,4
1970-01-01,convertible,3
1970-01-01,snake-rail fence,5
1971-01-01,nail,1
1971-01-01,menu,1
1971-01-01,pole,1
1971-01-01,nematode worm,5
1971-01-01,microphone,1
1971-01-01,mike,1
1971-01-01,nematode,5
1971-01-01,roundworm,5
1971-01-01,lab coat,1
1971-01-01,basketball,2
1971-01-01,wood rabbit,1
1971-01-01,lakeshore,8
1971-01-01,lakeside,8
1971-01-01,dust wrapper,13
1971-01-01,dust jacket,13
1971-01-01,dust cover,13
1971-01-01,book jacket,13
1971-01-01,manufactured home,1
1971-01-01,mobile home,1
1971-01-01,laboratory coat,1
1971-01-01,Sciurus niger,1
1971-01-01,worm fence,6
1971-01-01,snake fence,6
1971-01-01,snake-rail fence,6
1971-01-01,Virginia fence,6
1971-01-01,alp,8
1971-01-01,bison,1
1971-01-01,maze,2
1971-01-01,labyrinth,2
1971-01-01,cannon,1
1971-01-01,mosquito net,1
1971-01-01,plaque,6
1971-01-01,memorial tablet,6
1971-01-01,brass,6
1971-01-01,street sign,2
1971-01-01,welcome mat,1
1971-01-01,doormat,1
1971-01-01,vale,8
1971-01-01,macaque,2
1971-01-01,valley,8
1971-01-01,half track,1
1971-01-01,cottontail rabbit,1
1971-01-01,cottontail,1
1971-01-01,comic book,3
1971-01-01,corn,1
1971-01-01,sorrel,2
1971-01-01,cloak,1
1971-01-01,ski,1
1971-01-01,fox squirrel,1
1971-01-01,chainsaw,4
1971-01-01,chain saw,4
1971-01-01,boathouse,2
1971-01-01,eastern fox squirrel,1
1972-01-01,flagpole,2
1972-01-01,sea-coast,1
1972-01-01,seacoast,1
1972-01-01,coast,1
1972-01-01,plaque,7
1972-01-01,volcano,3
1972-01-01,flagstaff,2
1972-01-01,matchstick,1
1972-01-01,sandbar,2
1972-01-01,hyena,1
1972-01-01,labyrinth,3
1972-01-01,maze,3
1972-01-01,sand bar,2
1972-01-01,snowmobile,4
1972-01-01,briard,1
1972-01-01,paling,1
1972-01-01,hyaena,1
1972-01-01,waggon,5
1972-01-01,station waggon,5
1972-01-01,pole,2
1972-01-01,dust cover,14
1972-01-01,dust jacket,14
1972-01-01,dust wrapper,14
1972-01-01,shield,1
1972-01-01,buckler,1
1972-01-01,ear,1
1972-01-01,spike,1
1972-01-01,capitulum,1
1972-01-01,triumphal arch,1
1972-01-01,space bar,1
1972-01-01,brass,7
1972-01-01,picket fence,1
1972-01-01,lakeshore,11
1972-01-01,lakeside,11
1972-01-01,Gorilla gorilla,4
1972-01-01,gorilla,4
1972-01-01,hartebeest,1
1972-01-01,book jacket,14
1972-01-01,beach wagon,5
1972-01-01,denim,2
1972-01-01,jean,2
1972-01-01,cowboy hat,3
1972-01-01,ten-gallon hat,3
1972-01-01,minibus,2
1972-01-01,web site,4
1972-01-01,website,4
1972-01-01,internet site,4
1972-01-01,site,4
1972-01-01,mountain tent,8
1972-01-01,brown bear,4
1972-01-01,bruin,4
1972-01-01,Ursus arctos,4
1972-01-01,limousine,3
1972-01-01,limo,3
1972-01-01,tripod,2
1972-01-01,recreational vehicle,1
1972-01-01,RV,1
1972-01-01,R.V.,1
1972-01-01,blue jean,2
1972-01-01,station wagon,5
1972-01-01,seashore,1
1972-01-01,estate car,5
1972-01-01,minivan,2
1972-01-01,school bus,2
1972-01-01,off-roader,6
1972-01-01,all-terrain bike,6
1972-01-01,mountain bike,6
1972-01-01,West Highland white terrier,1
1972-01-01,vacuum cleaner,1
1972-01-01,vacuum,1
1972-01-01,tractor,1
1972-01-01,totem pole,1
1972-01-01,Ovis canadensis,1
1972-01-01,Rocky Mountain sheep,1
1972-01-01,Rocky Mountain bighorn,1
1972-01-01,cimarron,1
1972-01-01,bighorn sheep,1
1972-01-01,bighorn,1
1972-01-01,chainlink fence,1
1972-01-01,canoe,4
1972-01-01,wagon,5
1972-01-01,memorial tablet,7
1972-01-01,beach waggon,5
1973-01-01,assault gun,2
1973-01-01,stretcher,3
1973-01-01,suit,3
1973-01-01,suit of clothes,3
1973-01-01,comic book,6
1973-01-01,flute,1
1973-01-01,transverse flute,1
1973-01-01,brass,10
1973-01-01,memorial tablet,10
1973-01-01,plaque,10
1973-01-01,hook,1
1973-01-01,claw,1
1973-01-01,cloak,2
1973-01-01,white stork,1
1973-01-01,Ciconia ciconia,1
1973-01-01,street sign,3
1973-01-01,ballplayer,3
1973-01-01,baseball player,3
1973-01-01,swing,5
1973-01-01,buckle,1
1973-01-01,off-roader,8
1973-01-01,all-terrain bike,8
1973-01-01,mountain bike,8
1973-01-01,sand bar,3
1973-01-01,sandbar,3
1973-01-01,mongoose,1
1973-01-01,deerhound,1
1973-01-01,Scottish deerhound,1
1973-01-01,vale,10
1973-01-01,valley,10
1973-01-01,Irish water spaniel,1
1973-01-01,menu,2
1973-01-01,gazelle,5
1973-01-01,site,6
1973-01-01,internet site,6
1973-01-01,website,6
1973-01-01,web site,6
1973-01-01,freight car,2
1973-01-01,velocipede,1
1973-01-01,trike,1
1973-01-01,schipperke,1
1973-01-01,car mirror,1
1973-01-01,sorrel,3
1973-01-01,assault rifle,2
1973-01-01,plough,2
1973-01-01,bottlecap,2
1973-01-01,snake fence,8
1973-01-01,Virginia fence,8
1973-01-01,bicycle-built-for-two,1
1973-01-01,tandem bicycle,1
1973-01-01,tandem,1
1973-01-01,gorilla,5
1973-01-01,Gorilla gorilla,5
1973-01-01,lumbermill,5
1973-01-01,sawmill,5
1973-01-01,boathouse,3
1973-01-01,hay,2
1973-01-01,shovel,1
1973-01-01,picket fence,2
1973-01-01,paling,2
1973-01-01,tricycle,1
1973-01-01,worm fence,8
1973-01-01,mountain tent,10
1973-01-01,snake-rail fence,8
1973-01-01,lakeside,13
1973-01-01,volleyball,1
1973-01-01,nematode,8
1973-01-01,nematode worm,8
1973-01-01,roundworm,8
1973-01-01,lakeshore,13
1973-01-01,bobsleigh,1
1973-01-01,bob,1
1973-01-01,plow,2
1973-01-01,bobsled,1
1973-01-01,barrow,3
1973-01-01,garden cart,3
1973-01-01,lawn cart,3
1973-01-01,wheelbarrow,3
1973-01-01,vault,2
1973-01-01,barn,10
1973-01-01,steam locomotive,1
1974-01-01,scooter,1
1974-01-01,maze,4
1974-01-01,labyrinth,4
1974-01-01,fur coat,3
1974-01-01,R.V.,2
1974-01-01,RV,2
1974-01-01,trash barrel,2
1974-01-01,trash bin,2
1974-01-01,recreational vehicle,2
1974-01-01,motor scooter,1
1974-01-01,bikini,1
1974-01-01,dike,2
1974-01-01,German shepherd dog,2
1974-01-01,German police dog,2
1974-01-01,alsatian,2
1974-01-01,racer,2
1974-01-01,race car,2
1974-01-01,racing car,2
1974-01-01,Rottweiler,1
1974-01-01,lab coat,2
1974-01-01,laboratory coat,2
1974-01-01,pickup,3
1974-01-01,pickup truck,3
1974-01-01,pug,1
1974-01-01,pug-dog,1
1974-01-01,lumbermill,6
1974-01-01,sawmill,6
1974-01-01,hartebeest,2
1974-01-01,lakeside,14
1974-01-01,lakeshore,14
1974-01-01,mink,1
1974-01-01,street sign,4
1974-01-01,ashcan,2
1974-01-01,German shepherd,2
1974-01-01,trash can,2
1974-01-01,Lycaon pictus,1
1974-01-01,hyena dog,1
1974-01-01,welcome mat,2
1974-01-01,bow,1
1974-01-01,doormat,2
1974-01-01,Virginia fence,11
1974-01-01,snake-rail fence,11
1974-01-01,snake fence,11
1974-01-01,worm fence,11
1974-01-01,bison,2
1974-01-01,ox,3
1974-01-01,spider's web,1
1974-01-01,spider web,1
1974-01-01,nematode,10
1974-01-01,nematode worm,10
1974-01-01,roundworm,10
1974-01-01,jean,3
1974-01-01,dam,2
1974-01-01,blue jean,3
1974-01-01,denim,3
1974-01-01,sweatshirt,1
1974-01-01,chainlink fence,2
1974-01-01,African hunting dog,1
1974-01-01,Cape hunting dog,1
1974-01-01,wastebin,2
1974-01-01,garbage can,2
1974-01-01,off-roader,10
1974-01-01,dust jacket,16
1974-01-01,dust cover,16
1974-01-01,book jacket,16
1974-01-01,plaque,14
1974-01-01,memorial tablet,14
1974-01-01,brass,14
1974-01-01,two-piece,1
1974-01-01,waggon,6
1974-01-01,station waggon,6
1974-01-01,beach waggon,6
1974-01-01,estate car,6
1974-01-01,wagon,6
1974-01-01,station wagon,6
1974-01-01,beach wagon,6
1974-01-01,drop-off,1
1974-01-01,drop,1
1974-01-01,cliff,1
1974-01-01,alp,9
1974-01-01,Aepyceros melampus,5
1974-01-01,impala,5
1974-01-01,dyke,2
1974-01-01,ash bin,2
1974-01-01,crossword puzzle,2
1974-01-01,dust wrapper,16
1974-01-01,park bench,5
1974-01-01,mountain tent,12
1974-01-01,passenger car,2
1974-01-01,coach,2
1974-01-01,carriage,2
1974-01-01,mountain bike,10
1974-01-01,all-terrain bike,10
1974-01-01,crossword,2
1974-01-01,dustbin,2
1974-01-01,ashbin,2
1974-01-01,ash-bin,2
1975-01-01,harvester,1
1975-01-01,pot,1
1975-01-01,moped,2
1975-01-01,reaper,1
1975-01-01,half track,2
1975-01-01,off-roader,15
1975-01-01,internet site,7
