Latitude,Longitude,Park,State(s),Date,Area,Visitors (2018)
44.35,-68.21,Acadia,Maine,26-Feb-19,"49,075.26 acres (198.6 km2)","3,537,575"
-14.25,-170.68,American Samoa,American Samoa,31-Oct-88,"8,256.67 acres (33.4 km2)","28,626"
38.68,-109.57,Arches,Utah,12-Nov-71,"76,678.98 acres (310.3 km2)","1,663,557"
43.75,-102.5,Badlands,South Dakota,10-Nov-78,"242,755.94 acres (982.4 km2)","1,008,942"
29.25,-103.25,Big Bend,Texas,12-Jun-44,"801,163.21 acres (3,242.2 km2)","440,091"
25.65,-80.08,Biscayne,Florida,28-Jun-80,"172,971.11 acres (700.0 km2)","469,253"
38.57,-107.72,Black Canyon of the Gunnison,Colorado,21-Oct-99,"30,780.76 acres (124.6 km2)","308,962"
37.57,-112.18,Bryce Canyon,Utah,25-Feb-28,"35,835.08 acres (145.0 km2)","2,679,478"
38.2,-109.93,Canyonlands,Utah,12-Sep-64,"337,597.83 acres (1,366.2 km2)","739,449"
38.2,-111.17,Capitol Reef,Utah,18-Dec-71,"241,904.50 acres (979.0 km2)","1,227,627"
32.17,-104.44,Carlsbad Caverns,New Mexico,14-May-30,"46,766.45 acres (189.3 km2)","465,912"
34.01,-119.42,Channel Islands,California,5-Mar-80,"249,561.00 acres (1,009.9 km2)","366,250"
33.78,-80.78,Congaree,South Carolina,10-Nov-03,"26,539.22 acres (107.4 km2)","145,929"
42.94,-122.1,Crater Lake,Oregon,22-May-02,"183,224.05 acres (741.5 km2)","720,659"
41.24,-81.55,Cuyahoga Valley,Ohio,11-Oct-00,"32,572.35 acres (131.8 km2)","2,096,053"
36.24,-116.82,Death Valley,"California, Nevada",31-Oct-94,"3,373,063.14 acres (13,650.3 km2)","1,678,660"
63.33,-150.5,Denali,Alaska,26-Feb-17,"4,740,911.16 acres (19,185.8 km2)","594,660"
24.63,-82.87,Dry Tortugas,Florida,26-Oct-92,"64,701.22 acres (261.8 km2)","56,810"
25.32,-80.93,Everglades,Florida,30-May-34,"1,508,934.25 acres (6,106.4 km2)","597,124"
67.78,-153.3,Gates of the Arctic,Alaska,2-Dec-80,"7,523,897.45 acres (30,448.1 km2)","9,591"
38.63,-90.19,Gateway Arch,Missouri,22-Feb-18,192.83 acres (0.8 km2),"2,016,180"
58.5,-137,Glacier Bay,Alaska,2-Dec-80,"3,223,383.43 acres (13,044.6 km2)","597,915"
48.8,-114,Glacier,Montana,11-May-10,"1,013,125.99 acres (4,100.0 km2)","2,965,309"
36.06,-112.14,Grand Canyon,Arizona,26-Feb-19,"1,201,647.03 acres (4,862.9 km2)","6,380,495"
43.73,-110.8,Grand Teton,Wyoming,26-Feb-29,"310,044.22 acres (1,254.7 km2)","3,491,151"
38.98,-114.3,Great Basin,Nevada,27-Oct-86,"77,180.00 acres (312.3 km2)","153,094"
37.73,-105.51,Great Sand Dunes,Colorado,13-Sep-04,"107,341.87 acres (434.4 km2)","442,905"
35.68,-83.53,Great Smoky Mountains,"Tennessee, North Carolina",15-Jun-34,"522,426.88 acres (2,114.2 km2)","11,421,200"
31.92,-104.87,Guadalupe Mountains,Texas,15-Oct-66,"86,367.10 acres (349.5 km2)","172,347"
20.72,-156.17,Haleakal?,Hawaii,1-Aug-16,"33,264.62 acres (134.6 km2)","1,044,084"
19.38,-155.2,Hawai?i Volcanoes,Hawaii,1-Aug-16,"323,431.38 acres (1,308.9 km2)","1,116,891"
34.51,-93.05,Hot Springs,Arkansas,4-Mar-21,"5,548.01 acres (22.5 km2)","1,506,887"
41.6533,-87.0524,Indiana Dunes,Indiana,15-Feb-19,"15,067 acres (61.0 km2)","1,756,079"
48.1,-88.55,Isle Royale,Michigan,3-Apr-40,"571,790.30 acres (2,314.0 km2)","25,798"
33.79,-115.9,Joshua Tree,California,31-Oct-94,"790,635.74 acres (3,199.6 km2)","2,942,382"
58.5,-155,Katmai,Alaska,2-Dec-80,"3,674,529.33 acres (14,870.3 km2)","37,818"
59.92,-149.65,Kenai Fjords,Alaska,2-Dec-80,"669,650.05 acres (2,710.0 km2)","321,596"
36.8,-118.55,Kings Canyon,California,4-Mar-40,"461,901.20 acres (1,869.2 km2)","699,023"
67.55,-159.28,Kobuk Valley,Alaska,2-Dec-80,"1,750,716.16 acres (7,084.9 km2)","14,937"
60.97,-153.42,Lake Clark,Alaska,2-Dec-80,"2,619,816.49 acres (10,602.0 km2)","14,479"
40.49,-121.51,Lassen Volcanic,California,9-Aug-16,"106,589.02 acres (431.4 km2)","499,435"
37.18,-86.1,Mammoth Cave,Kentucky,1-Jul-41,"54,011.91 acres (218.6 km2)","533,206"
37.18,-108.49,Mesa Verde,Colorado,29-Jun-06,"52,485.17 acres (212.4 km2)","563,420"
46.85,-121.75,Mount Rainier,Washington,"March 2, 1899","236,381.64 acres (956.6 km2)","1,518,491"
48.7,-121.2,North Cascades,Washington,2-Oct-68,"504,780.94 acres (2,042.8 km2)","30,085"
47.97,-123.5,Olympic,Washington,29-Jun-38,"922,649.41 acres (3,733.8 km2)","3,104,455"
35.07,-109.78,Petrified Forest,Arizona,9-Dec-62,"221,390.21 acres (895.9 km2)","644,922"
36.48,-121.16,Pinnacles,California,10-Jan-13,"26,685.73 acres (108.0 km2)","222,152"
41.3,-124,Redwood,California,2-Oct-68,"138,999.37 acres (562.5 km2)","482,536"
40.4,-105.58,Rocky Mountain,Colorado,26-Jan-15,"265,795.20 acres (1,075.6 km2)","4,590,493"
32.25,-110.5,Saguaro,Arizona,14-Oct-94,"91,715.72 acres (371.2 km2)","957,405"
36.43,-118.68,Sequoia,California,"September 25, 1890","404,062.63 acres (1,635.2 km2)","1,229,594"
38.53,-78.35,Shenandoah,Virginia,26-Dec-35,"199,217.77 acres (806.2 km2)","1,264,880"
46.97,-103.45,Theodore Roosevelt,North Dakota,10-Nov-78,"70,446.89 acres (285.1 km2)","749,389"
18.33,-64.73,Virgin Islands,United States Virgin Islands,2-Aug-56,"14,940.00 acres (60.5 km2)","112,287"
48.5,-92.88,Voyageurs,Minnesota,8-Jan-71,"218,200.15 acres (883.0 km2)","239,656"
43.57,-103.48,Wind Cave,South Dakota,9-Jan-03,"33,970.84 acres (137.5 km2)","656,397"
61,-142,Wrangell–St. Elias,Alaska,2-Dec-80,"8,323,146.48 acres (33,682.6 km2)","79,450"
44.6,-110.5,Yellowstone,"Wyoming, Montana, Idaho","March 1, 1872","2,219,790.71 acres (8,983.2 km2)","4,115,000"
